Operating Systems,Price
Windows 7,
Microsoft Windows 7 Ultimate 32/64 Bit (Full Pack) Operating System,15799
Microsoft Windows 7 Home Premium 32/64 Bit (Full Pack) Operating System,5600
Microsoft Windows 7 Professional 32/64 Bit (Full Pack) Operating System,7995
Microsoft Windows 7 Home Basic (Full Pack) Operating System,5600
,
Linux/DOS,
DOS,0
Ubuntu 14.04,0
Fedora 21,0
,
Windows 8,
Microsoft Windows 8 Professional 32 Bit Operating System,7995
Microsoft Windows 8 SL Home 64-Bit,5555
,
Windows 8.1,
Microsoft Windows 8.1 Full Version (32/64 bit),7990
Microsoft Windows 8.1 Pro (32/64 bit),7851
Microsoft Windows 8.1SL Home â€“ 32-Bit,5383
Microsoft Windows 8.1 Professional OEM 32 bit,10010
